ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2017-18,State Name [State] 2016-17,State Name [State] 2015-16,State Name [State] 2014-15,State Name [State] 2013-14,State Name [State] 2012-13,State Name [State] 2011-12,State Name [State] 2010-11,State Name [State] 2009-10,State Name [State] 2008-09,State Name [State] 2007-08,State Name [State] 2006-07,State Abbr [State] Latest available year,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07
NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,New Mexico,New Mexico,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NM ,334345,336263,335694,340365,339244,338220,337225,338122,334419,330245,329040,328220,334188,336053,334065,338357,337275,336084,335236,336005,332584,328420,327670,326676
NEW YORK,NEW YORK,NEW YORK,NEW YORK,NEW YORK,New York,New York,NEW YORK,NEW YORK,NEW YORK,NEW YORK,NEW YORK,NEW YORK,NY ,2724663,2729776,2711626,2741185,2732770,2710703,2704718,2734955,2766052,2740592,2765435,2809649,2697340,2701741,2711571,2720046,2720390,2710697,2702568,2733530,2715997,2740592,2765435,2808117
NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,North Carolina,North Carolina,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NORTH CAROLINA,NC ,1553513,1550062,1544934,1548895,1530857,1518465,1507864,1490605,1483397,1488645,1489492,1444481,1553513,1549476,1544677,1535441,1521075,1507693,1499541,1488193,1477354,1457835,1458035,1444215
NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,North Dakota,North Dakota,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,NORTH DAKOTA,ND ,111920,109706,108644,106586,103947,101111,97646,96323,95073,94728,95059,96670,109694,107468,108464,106399,103786,101111,95542,94273,93055,94728,95052,96670
OHIO,OHIO,OHIO,OHIO,OHIO,Ohio,Ohio,OHIO,OHIO,OHIO,OHIO,OHIO,OHIO,OH ,1704399,1710143,1716585,1724810,1724111,1729916,1740030,1754191,1764297,1817163,1827184,1836722,1702623,1708618,1715148,1723451,1722675,1728938,1738642,1750235,1762311,1813999,1821635,1832100
OKLAHOMA,OKLAHOMA,OKLAHOMA,OKLAHOMA,OKLAHOMA,Oklahoma,Oklahoma,OKLAHOMA,OKLAHOMA,OKLAHOMA,OKLAHOMA,OKLAHOMA,OKLAHOMA,OK ,695092,693903,692878,688511,681848,673483,666120,659911,654802,645108,642065,639391,695092,693903,692878,688511,681848,670858,666011,659828,654802,645108,642065,639009
OREGON,OREGON,OREGON,OREGON,OREGON,Oregon,Oregon,OREGON,OREGON,OREGON,OREGON,OREGON,OREGON,OR ,608014,578947,576407,601318,593000,587564,568208,570720,582839,575393,565586,562574,572470,570723,568062,563296,559650,556016,553232,553617,553846,556380,558791,555013
PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,Pennsylvania,Pennsylvania,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PENNSYLVANIA,PA ,1726809,1727497,1717414,1743160,1755236,1763677,1771395,1793284,1785993,1775029,1801971,1871060,1706697,1709628,1704502,1723315,1734286,1742584,1747825,1763594,1761333,1769786,1787813,1846420
RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,Rhode Island,Rhode Island,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RHODE ISLAND,RI ,142949,142150,142014,141959,142008,142481,142854,143793,145118,145342,147629,151612,141448,140469,140427,140364,140605,141124,141564,142575,143674,143591,146228,149925
SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,South Carolina,South Carolina,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SOUTH CAROLINA,SC ,777507,771250,763533,756523,745657,735998,727186,725838,723143,718113,712317,708021,777366,771250,763483,756523,745591,735998,726003,724660,723142,718113,712319,703119
